name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23
Ing,0.99997103,9.53e-10,2.85e-05,1.07e-07,2.83e-14,4.48e-14,6.36e-15,4.35e-16,9.18e-15,1.42e-18,9.74e-09,3.38e-07,2.59e-09,5.46e-14,2.61e-19,2.67e-18,8.06e-22,1.19e-09,3.26e-15,6.380000000000001e-27,1.69e-18,2.99e-23,1.1e-14,2.16e-12
ardper,1.54e-05,3e-05,7.46e-05,2.26e-05,0.597148,0.005896106,0.000198116,0.000399752,0.05976241,0.007762288,2.79e-07,0.007415906,6.2e-05,0.04520985,0.003890283,0.23139517,0.000963061,0.008661655,5.46e-06,0.000575797,0.001415761,0.02643465,0.000571098,0.002089699
hcarpe,2.73e-06,5.28e-06,1.67e-05,2.54e-06,0.076487646,0.00078885,7.13e-05,0.00044454,0.000780337,0.8152818,1.43e-08,0.023548651,1.68e-05,0.011338915,0.011564635,0.03650018,0.003504707,0.001010281,6.14e-07,0.001991084,0.016119359,0.00014226,1.91e-05,0.000361588
Pink,0.006582583,0.003981933,0.9760035,0.000693524,3.21e-05,3.71e-08,1.14e-05,3.94e-05,8.97e-08,3.89e-06,1.59e-07,0.006282757,0.005427043,1.43e-05,6.94e-06,1.33e-07,0.000330479,1.31e-07,4.73e-09,7.04e-08,4.85e-07,7.57e-11,2.06e-06,0.000587061
simm,3.26e-05,2.05e-05,0.000186391,0.000919448,0.022056978,0.010168576,0.002698629,7.73e-05,0.3041738,0.000141282,0.000108164,0.000499947,0.000238171,0.001006752,2.64e-07,0.028414216,2.93e-06,0.06430175,0.003732726,1.7e-08,0.013159325,0.002291458,0.44610968,0.09965912
kbartl,0.000209648,8.77e-06,0.000461197,3.21e-07,3.3e-05,3.9e-05,2.16e-05,1.98e-07,6.65e-06,5.96e-08,2.35e-06,0.007635131,0.9228061,0.000409175,0.013841803,4.21e-08,0.025307283,4.96e-06,1.12e-07,0.028437857,0.00033604,1.76e-08,2.19e-07,0.000438444
kouri,1.07e-05,8.4e-05,9.13e-05,1.36e-06,0.08794015,0.00354301,0.000965757,7.42e-05,0.001205699,0.003437413,4.07e-06,0.055154976,0.000258884,0.6354843,0.12353109,0.000886319,0.01425509,0.001459685,1.08e-05,0.059129708,0.011513538,2.56e-05,1.64e-05,0.000916054
dfhodd,2.22e-05,7.78e-06,2.62e-06,5.13e-05,0.13165823,0.007050887,0.001650508,6.52e-07,0.7467793,1.49e-06,1.2e-06,6.62e-05,1.7e-06,0.000403975,4.47e-07,0.023724874,3.2e-08,0.08145433,0.000165808,2.95e-10,3.58e-05,0.003505214,0.003189688,0.000225691
dakram,6.71e-13,4.23e-08,2.23e-08,3.24e-06,0.000520866,6.01e-11,1.12e-11,0.9992604,4.41e-08,0.000188415,1.92e-13,6.81e-09,3.01e-13,1.11e-05,1.67e-10,1.55e-05,4.73e-14,3.12e-07,3.99e-12,5.56e-13,5.76e-08,3.61e-09,1.31e-08,1.71e-09
pajaco,5.26e-09,2.47e-09,6.27e-08,1.5e-12,1.65e-07,6.02e-08,7.16e-10,5.63e-12,8.12e-10,6.01e-09,2.22e-13,0.001631333,0.000118277,4.32e-05,0.014205155,3.65e-09,0.90744406,1.29e-09,1.09e-12,0.076557,5.14e-07,9.68e-11,1.08e-13,7.17e-08
